가게 이름,주소,음식 종류,가격,네이버 지도 별점,방문자 리뷰?,블로그 리뷰
세종돼지갈비,경기 수원시 영통구 청명남로4번길 5-16,한식,13000,4.39,248,80
등촌샤브칼국수,경기 수원시 영통구 청명남로 25,한식,13000,4.34,668,106
돈부리인생,경기 수원시 영통구 덕영대로1681번길 9,일식,7300,5,91,29
최고당돈까스,경기 수원시 영통구 영일로21번길 8-1,일식,6900,4.42,581,90
포동이네,경기 수원시 영통구 청명남로12번길 24,일식,12000,4.51,567,149
키와마루아지,경기 수원시 영통구 영일로 8,일식,7500,4.21,308,202
아빠회사가,경기 수원시 영통구 청명남로50번길 5-10,일식,89000,4.23,186,106
미미카츠,경기 수원시 영통구 매영로 433,일식,9000,4.46,124,42
미스터짬뽕,경기 수원시 영통구 청명남로4번길 13-1,중식,6000,4.47,360,183
포명천천,경기 수원시 영통구 반달로 38,중식,6000,4.3,894,235
골치연구소,경기 수원시 영통구 매영로 400,한식,35800,4.57,107,28
아름다운 땅,경기 수원시 영통구 청명남로4번길 2,양식,20000,4.55,805,197
그로또,경기 수원시 영통구 청명북로 2,양식,20000,4.63,3067,835
쏘니스 썬프란시스코마켓,경기 수원시 영통구 매영로425번길 18,양식,18000,4.56,986,917
쏘울피,경기 수원시 영통구 덕영대로 1701,양식,21900,4.41,105,69
탕화쿵푸,경기 수원시 영통구 청명남로34번길 3,중식,10800,4.32,602,106
라메이즈마라탕,경기 수원시 영통구 반달로 30,중식,12000,4.39,830,158
얜시부,경기 수원시 영통구 영일로6번길 47,중식,8400,4.48,572,250
도스마스,경기 용인시 기흥구 서그내로15번길 33,양식,5000,4.28,264,24
멕시모부리또,경기 수원시 영통구 덕영대로1681번길 14,양식,4000,4.52,219,54
독도쭈꾸미,경기 수원시 영통구 매영로345번길 7,한식,27000,4.42,651,158
라이킷,경기 수원시 영통구 매영로415번길 42-5,카페,4000,4.65,89,69
비티제이,경기 수원시 영통구 청명남로4번길 21-1,카페,4000,4.65,452,50
수누리,경기 수원시 영통구 덕영대로 1691,한식,10000,4.38,1828,260
깡우동,경기 수원시 영통구 청명남로28번길 2,한식,8500,4.46,1142,1340
썬프란시스코마켓,경기 수원시 영통구 매영로425번길 18,양식,16000,4.56,986,915
닷지,경기 수원시 영통구 청명북로7번길 17,일식,24000,4.84,288,310
고씨주방,경기 수원시 영통구 청명남로50번길 24,양식,19000,4.68,293,259
초밥쟁이,경기 수원시 영통구 반달로 98,일식,18000,4.48,914,325
보영만두,경기 수원시 영통구 청명남로28번길 2,한식,8000,4.28,2304,329
장터밥상,경기 수원시 영통구 반달로 46,한식,8000,4.38,475,122
육풍,경기 수원시 영통구 매영로393번길 31,한식,15000,4.89,1155,565
부대통령,경기 수원시 영통구 덕영대로 1701,한식,6000,4.48,655,40
신가네,경기 수원시 영통구 매영로 424,한식,7000,4.42,84,15
호식당,경기 수원시 영통구 영일로 16-10,일식,11900,4.5,347,94
겐코,경기 수원시 영통구 영일로 8,일식,11500,4.18,294,52
찜생찜사,경기 수원시 영통구 매영로 416,한식,11000,4.45,162,27
얜시부,경기 수원시 영통구 영일로6번길 47,중식,10000,4.6,513,176
라메이즈마라탕,경기 수원시 영통구 반달로 30,중식,12000,4.39,830,158
꽃찬찜닭,경기 수원시 영통구 매영로 414,한식,24000,4.32,152,45
맛닭꼬,경기 수원시 영통구 봉영로 1613,한식,12900,4.7,1481,118
원조한국순대국,경기 수원시 영통구 매영로 428,한식,9000,4.2,315,46
방울엄마국밥,경기 수원시 영통구 영일로6번길 54,한식,10000,4.27,596,122
부타센세,경기 수원시 영통구 청명로 6,일식,9000,4.54,183,36
이모찌마,경기 수원시 영통구 매영로415번길 42-26,한식,9000,3.99,158,14
미미카츠,경기 수원시 영통구 매영로 433,일식,9000,4.46,124,42
청진옥,경기 수원시 영통구 청명로21번길 4,한식,9000,4.4,35,44
짬뽕타임,경기 수원시 영통구 매영로 390,중식,9000,4.29,1140,182
치킨마루,경기 수원시 영통구 매영로 416,한식,18000,4.48,82,13
김명자낙지마당,경기 수원시 영통구 매영로 416,한식,12000,4.29,713,94
